episode,score,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
1,8270.3028,-0.03,0.02,0.0,-0.33,0.23,-1.34
2,8270.3075,-0.03,0.02,0.0,-0.33,0.23,-1.34
3,8519.5088,-0.05,0.03,0.0,-0.98,0.42,-0.66
4,8519.5168,-0.05,0.03,0.0,-0.98,0.42,-0.66
5,8270.3138,-0.03,0.02,0.0,-0.33,0.23,-1.34
6,8270.3131,-0.03,0.02,0.0,-0.33,0.23,-1.34
7,8519.5033,-0.05,0.03,0.0,-0.98,0.42,-0.66
8,8403.5071,-0.04,0.02,0.0,-0.93,0.26,-0.91
9,11271.3241,-0.05,0.02,0.0,-0.97,0.27,-0.89
10,8403.5055,-0.04,0.02,0.0,-0.93,0.26,-0.91
11,8519.5073,-0.05,0.03,0.0,-0.98,0.42,-0.66
12,13837.7507,-0.12,0.06,0.0,-1.34,0.83,-1.19
13,8270.3097,-0.03,0.02,0.0,-0.33,0.23,-1.34
14,8519.5006,-0.05,0.03,0.0,-0.98,0.42,-0.66
15,8519.5058,-0.05,0.03,0.0,-0.98,0.42,-0.66
16,8270.3020,-0.03,0.02,0.0,-0.33,0.23,-1.34
17,8270.3071,-0.03,0.02,0.0,-0.33,0.23,-1.34
18,8519.5081,-0.05,0.03,0.0,-0.98,0.42,-0.66
19,8519.5089,-0.05,0.03,0.0,-0.98,0.42,-0.66
20,8270.3003,-0.03,0.02,0.0,-0.33,0.23,-1.34
21,8402.0501,-0.04,0.02,0.0,-0.92,0.25,-0.92
22,25940.8784,-0.1,-0.1,0.0,-1.06,-0.49,-2.68
23,10909.5868,0.0,-0.06,0.0,0.01,-0.42,-1.44
24,11127.5476,-0.02,-0.01,0.0,-0.35,-0.44,-1.2
25,15604.1525,-0.17,0.29,0.0,-1.2,1.18,-1.71
26,8578.9202,-0.0,0.07,0.0,-0.03,0.83,-0.45
27,8191.4282,-0.0,0.09,0.0,-0.11,1.07,-0.94
28,8005.7882,-0.01,0.02,0.0,-0.3,-0.73,-1.67
29,5748.5157,-0.0,0.03,0.0,-0.02,0.32,-0.29
30,7935.8419,-0.01,0.06,0.0,-0.21,0.77,-1.67
31,5822.5052,-0.0,0.06,0.0,-0.05,0.56,-0.21
32,5614.8023,-0.0,0.08,0.0,-0.05,1.7,-0.35
33,4940.4661,0.0,0.07,0.0,0.0,1.15,-2.78
34,4850.3215,0.0,0.03,0.0,0.0,0.15,-2.97
35,2871.9032,0.0,0.01,0.0,0.0,0.52,-0.43
36,2861.6545,-0.0,0.01,0.0,-0.0,0.47,-0.5
37,2848.9047,-0.0,0.01,0.0,-0.0,0.39,-0.57
38,2829.3722,-0.0,0.01,0.0,-0.0,0.29,-0.62
39,2814.2830,-0.0,0.01,0.0,-0.0,0.18,-0.63
40,2805.2482,-0.0,0.01,0.0,-0.0,0.07,-0.62
41,2803.1536,-0.0,0.01,0.0,-0.0,-0.03,-0.57
42,2807.7011,-0.0,0.0,0.0,-0.0,-0.11,-0.48
43,2817.1489,-0.0,0.0,0.0,-0.0,-0.15,-0.38
44,2828.5614,-0.0,0.0,0.0,-0.0,-0.15,-0.27
45,2838.3059,-0.0,0.0,0.0,-0.0,-0.1,-0.18
46,2842.9588,-0.0,-0.0,0.0,-0.0,-0.01,-0.14
47,2840.0991,-0.0,-0.0,0.0,-0.0,0.08,-0.15
48,2830.2404,-0.0,-0.0,0.0,-0.0,0.15,-0.22
49,2816.1122,-0.0,-0.0,0.0,-0.0,0.17,-0.33
50,2802.5111,-0.0,-0.01,0.0,-0.0,0.13,-0.45
51,2795.1006,-0.0,-0.01,0.0,-0.0,0.02,-0.56
52,2798.9840,-0.0,-0.01,0.0,-0.0,-0.15,-0.63
53,5619.3636,-0.0,-0.01,0.01,-0.04,-0.34,0.32
54,5445.7883,-0.0,-0.01,0.0,-0.04,0.42,-0.19
55,5174.5713,-0.0,-0.04,0.0,-0.05,0.3,-0.91
